idx,data_source,text_snippet,entropy,structural_density,quadrant
64,synthetic_fallback,Patients receiving Fluoxetine who are concurrently prescribed Tramadol exhibit variable pharmacokine,5.0,0.0,Q4
65,synthetic_fallback,Patients receiving Atorvastatin who are concurrently prescribed Clarithromycin exhibit variable phar,5.0,0.0,Q4
66,synthetic_fallback,"Clopidogrel is a potent inhibitor of CYP2C19, therefore substantially increasing systemic exposure t",4.6538,2.3333,Q2
67,synthetic_fallback,"Clopidogrel is a potent inhibitor of CYP2C19, therefore substantially increasing systemic exposure t",4.6538,2.3333,Q2
68,synthetic_fallback,The combination of Digoxin and Amiodarone has been evaluated in multiple randomised controlled trial,4.8065,0.0,Q3
69,synthetic_fallback,"Tacrolimus inhibits CYP3A4 via competitive binding, which therefore increases plasma concentrations ",4.8286,4.0,Q1
70,synthetic_fallback,"Warfarin inhibits CYP2C9 via competitive binding, which therefore increases plasma concentrations of",4.8286,4.0,Q1
71,synthetic_fallback,"Warfarin inhibits CYP2C9 via competitive binding, which therefore increases plasma concentrations of",4.8286,4.0,Q1
72,synthetic_fallback,"Quinidine inhibits P-glycoprotein via competitive binding, which therefore increases plasma concentr",4.8286,4.0,Q1
73,synthetic_fallback,Patients receiving Ketoconazole who are concurrently prescribed Midazolam exhibit variable pharmacok,5.0,0.0,Q4
74,synthetic_fallback,The combination of Carbamazepine and Erythromycin has been evaluated in multiple randomised controll,4.8065,0.0,Q3
75,synthetic_fallback,The combination of Carbamazepine and Erythromycin has been evaluated in multiple randomised controll,4.8065,0.0,Q3
76,synthetic_fallback,"Lithium is a potent inhibitor of renal clearance, therefore substantially increasing systemic exposu",4.6604,2.3333,Q2
77,synthetic_fallback,"Phenytoin inhibits CYP2C9 via competitive binding, which therefore increases plasma concentrations o",4.8286,4.0,Q1
78,synthetic_fallback,Co-administration of Clozapine and Fluvoxamine results in a clinically significant interaction media,4.8182,1.3333,Q1
79,synthetic_fallback,"Ciprofloxacin is a potent inhibitor of CYP1A2, therefore substantially increasing systemic exposure ",4.6538,2.3333,Q2
80,synthetic_fallback,Patients receiving Ketoconazole who are concurrently prescribed Midazolam exhibit variable pharmacok,5.0,0.0,Q4
81,synthetic_fallback,"Ciprofloxacin is a potent inhibitor of CYP1A2, therefore substantially increasing systemic exposure ",4.6538,2.3333,Q2
82,synthetic_fallback,"Lithium is a potent inhibitor of renal clearance, therefore substantially increasing systemic exposu",4.6604,2.3333,Q2
83,synthetic_fallback,Patients receiving Fluoxetine who are concurrently prescribed Tramadol exhibit variable pharmacokine,5.0,0.0,Q4
84,synthetic_fallback,The combination of Sildenafil and Nitrates has been evaluated in multiple randomised controlled tria,4.8065,0.0,Q3
85,synthetic_fallback,Patients receiving Ketoconazole who are concurrently prescribed Midazolam exhibit variable pharmacok,5.0,0.0,Q4
86,synthetic_fallback,"Ciprofloxacin is a potent inhibitor of CYP1A2, therefore substantially increasing systemic exposure ",4.6538,2.3333,Q2
87,synthetic_fallback,"Methotrexate is a potent inhibitor of OAT1/3, therefore substantially increasing systemic exposure t",4.6538,2.3333,Q2
88,synthetic_fallback,"Quinidine inhibits P-glycoprotein via competitive binding, which therefore increases plasma concentr",4.8286,4.0,Q1
89,synthetic_fallback,Co-administration of Clozapine and Fluvoxamine results in a clinically significant interaction media,4.8182,1.3333,Q1
90,synthetic_fallback,"Lithium is a potent inhibitor of renal clearance, therefore substantially increasing systemic exposu",4.6604,2.3333,Q2
91,synthetic_fallback,Co-administration of Metoprolol and Verapamil results in a clinically significant interaction mediat,4.8182,1.3333,Q1
92,synthetic_fallback,The combination of Carbamazepine and Erythromycin has been evaluated in multiple randomised controll,4.8065,0.0,Q3
93,synthetic_fallback,Patients receiving Ketoconazole who are concurrently prescribed Midazolam exhibit variable pharmacok,5.0,0.0,Q4
94,synthetic_fallback,The combination of Sildenafil and Nitrates has been evaluated in multiple randomised controlled tria,4.8065,0.0,Q3
95,synthetic_fallback,Co-administration of Clozapine and Fluvoxamine results in a clinically significant interaction media,4.8182,1.3333,Q1
96,synthetic_fallback,"Quinidine inhibits P-glycoprotein via competitive binding, which therefore increases plasma concentr",4.8286,4.0,Q1
97,synthetic_fallback,"Methotrexate is a potent inhibitor of OAT1/3, therefore substantially increasing systemic exposure t",4.6538,2.3333,Q2
98,synthetic_fallback,The combination of Digoxin and Amiodarone has been evaluated in multiple randomised controlled trial,4.8065,0.0,Q3
99,synthetic_fallback,"Methotrexate is a potent inhibitor of OAT1/3, therefore substantially increasing systemic exposure t",4.6538,2.3333,Q2
100,synthetic_fallback,Co-administration of Metformin and Cimetidine results in a clinically significant interaction mediat,4.8182,1.3333,Q1
